MATRIC,REC,TUT,Notes
A0310628L,R11,T16,
A0310630Y,R11,T18,
A0310655L,R11,T62,
A0310918H,R15,T11,
A0310920W,R03,T35,
A0310921U,R03,T51,
A0311086M,R04,T55,
A0311096L,R08,T23,
A0311112H,R01,T41,
A0311120J,R03,T10,
A0311123A,R05,T44,
A0311136W,R09,T01,
A0311151B,R11,T05,
A0311168L,R20,T04,
A0311657E,R01,T26,
A0311660R,R21,T26,
A0311666E,R10,T60,
A0311686B,R01,T56,
A0311688X,R15,T39,
A0311699U,R13,T06,
A0311766A,R10,T26,
A0311767B,R16,T16,
A0311768Y,R10,T32,
A0311769X,R04,T08,
A0311770M,R14,T09,
A0311771L,R17,T65,
A0311772J,R06,T12,
A0311774E,R22,T47,
A0311775A,R14,T17,
A0311777Y,R10,T34,
A0311780L,R17,T33,
A0311782H,R11,T11,
A0311788W,R05,T10,
A0311795Y,R08,T07,
A0311800Y,R16,T44,
A0311870L,R17,T63,
A0311874A,R02,T56,
A0311876Y,R08,T33,
A0311877X,R12,T15,
A0311887W,R18,T28,
A0311889R,R03,T24,
A0311890H,R14,T63,
A0311892A,R20,T51,
A0311910W,R16,,"Add on coursereg illegally, but i'll allow it. 
Missing tutorial, will drop off the module unless contacted."
A0311921R,R02,T55,
A0312011J,R02,T50,
A0312021H,R16,T36,
A0312024B,R09,T03,
A0312063W,R22,T64,
A0312075N,R12,T12,
A0312101J,R19,T04,
A0312130E,R05,T18,
A0312147N,R01,T58,
A0312213B,R16,T09,
A0312269E,R13,T15,
A0312292M,R03,T02,
A0312333W,R17,T34,
A0312351W,R20,T27,
A0309461E,R16,T36,
